dimension,severity,entity,key,field,excel_value,db_value,delta,note
D. Produk / Menu,EXTRA_IN_DB,product,Unagi Meshi,existence,,PRD-20260822-001 | TEPPANYAKI | 65000.00,,Produk di DB tanpa resep di workbook
D. Produk / Menu,EXTRA_IN_DB,product,Steam Rice,existence,,PRD-20260824-001 | RICE-BOWL-STALL | 15000.00,,Produk di DB tanpa resep di workbook
D. Produk / Menu,EXTRA_IN_DB,product,Hikiniku,existence,,PRD-20260824-001 | JAPANESE-PORIDGE-STALL | 0.00,,Produk di DB tanpa resep di workbook
D. Produk / Menu,EXTRA_IN_DB,product,Spicy Goma,existence,,PRD-20260823-002 | RAMEN-NOODLES-STALL | 90000.00,,Produk di DB tanpa resep di workbook
D. Produk / Menu,EXTRA_IN_DB,product,Okayu Beef,existence,,MM-STALL-12-070 | JAPANESE-PORIDGE-STALL | 0.00,,Produk di DB tanpa resep di workbook
D. Produk / Menu,EXTRA_IN_DB,product,Onigiri Spicy Tuna,existence,,MM-STALL-14-077 | ONIGIRI-CORNER-STALL | 0.00,,Produk di DB tanpa resep di workbook
D. Produk / Menu,EXTRA_IN_DB,product,Cakalang Onigiri,existence,,MM-STALL-14-078 | ONIGIRI-CORNER-STALL | 0.00,,Produk di DB tanpa resep di workbook
D. Produk / Menu,EXTRA_IN_DB,product,Salmon Mayo Onigiri,existence,,MM-STALL-14-079 | ONIGIRI-CORNER-STALL | 0.00,,Produk di DB tanpa resep di workbook
D. Produk / Menu,EXTRA_IN_DB,product,Onigiri Yakiniku,existence,,MM-STALL-14-080 | ONIGIRI-CORNER-STALL | 0.00,,Produk di DB tanpa resep di workbook
D. Produk / Menu,EXTRA_IN_DB,product,Dry Ramen Smoked Duck,existence,,PRD-20260823-003 | RAMEN-NOODLES-STALL | 65000.00,,Produk di DB tanpa resep di workbook
D. Produk / Menu,EXTRA_IN_DB,product,Onigiri Chili Oil,existence,,PRD-20260825-001 | ONIGIRI-CORNER-STALL | 0.00,,Produk di DB tanpa resep di workbook
E. BOM Produk,MISSING_IN_DB,product_bom,Tamagoyaki Mentai → Adonan Tamagoyaki WIP,component,45 GR,,,Bahan ada di master tapi tidak terpasang di BOM produk
E. BOM Produk,MISSING_IN_DB,product_bom,Tamagoyaki Mentai → Mentaiko Mayo WIP,component,20 GR,,,Bahan ada di master tapi tidak terpasang di BOM produk
E. BOM Produk,MISSING_IN_DB,product_bom,Tamagoyaki Mentai → Tobiko Orange,component,5 GR,,,Bahan ada di master tapi tidak terpasang di BOM produk
E. BOM Produk,VALUE_MISMATCH,product_bom,Unagi Nigiri,Direct Cost (rekalkulasi BOM),14507.14149,14507.03148768,0.11000231999969401,Direct Cost workbook vs Σ(qty_required × biaya per satuan) dari BOM DB
E. BOM Produk,MISSING_IN_DB,product_bom,Tempura Kimchi Hotdog → Daun Ketumbar,component, ,,,Bahan ada di master tapi tidak terpasang di BOM produk
E. BOM Produk,MISSING_IN_DB,product_bom,Yakiniku Hotdog → Daun Ketumbar,component, ,,,Bahan ada di master tapi tidak terpasang di BOM produk
E. BOM Produk,MISSING_IN_DB,product_bom,Tendon Club → Udang Tempura,component, PCS,,,Bahan ada di master tapi tidak terpasang di BOM produk
E. BOM Produk,MISSING_IN_DB,product_bom,Aka Miso Ramen → Ramen,component,80 GR,,,Bahan ada di master tapi tidak terpasang di BOM produk
E. BOM Produk,MISSING_IN_DB,product_bom,Aka Miso Ramen → Miso Soup WIP,component,240 ML,,,Bahan ada di master tapi tidak terpasang di BOM produk
E. BOM Produk,MISSING_IN_DB,product_bom,Aka Miso Ramen → Garlic Oil,component,1 GR,,,Bahan ada di master tapi tidak terpasang di BOM produk
E. BOM Produk,MISSING_IN_DB,product_bom,Aka Miso Ramen → Lada Putih,component,0.5 GR,,,Bahan ada di master tapi tidak terpasang di BOM produk
E. BOM Produk,MISSING_IN_DB,product_bom,Aka Miso Ramen → Chili Oil WIP,component,35 GR,,,Bahan ada di master tapi tidak terpasang di BOM produk
E. BOM Produk,MISSING_IN_DB,product_bom,Aka Miso Ramen → Chicken Marinated Fillet WIP,component,28 GR,,,Bahan ada di master tapi tidak terpasang di BOM produk
E. BOM Produk,MISSING_IN_DB,product_bom,Aka Miso Ramen → Smoked Duck Slice,component,10 GR,,,Bahan ada di master tapi tidak terpasang di BOM produk
E. BOM Produk,MISSING_IN_DB,product_bom,Aka Miso Ramen → Jukut,component,4 GR,,,Bahan ada di master tapi tidak terpasang di BOM produk
E. BOM Produk,MISSING_IN_DB,product_bom,Aka Miso Ramen → Daun Bawang,component,4 GR,,,Bahan ada di master tapi tidak terpasang di BOM produk
E. BOM Produk,MISSING_IN_DB,product_bom,Aka Miso Ramen → Telur Omega,component,0.5 BUTIR,,,Bahan ada di master tapi tidak terpasang di BOM produk
E. BOM Produk,VALUE_MISMATCH,product_bom,Spicy Goma Ramen,Direct Cost (rekalkulasi BOM),19404.33627,31404.336270581818,-12000.000000581818,Direct Cost workbook vs Σ(qty_required × biaya per satuan) dari BOM DB
E. BOM Produk,VALUE_MISMATCH,product_bom,Signature Shoyu Ramen,Direct Cost (rekalkulasi BOM),8879.627056,20879.627057181817,-12000.000001181817,Direct Cost workbook vs Σ(qty_required × biaya per satuan) dari BOM DB
E. BOM Produk,VALUE_MISMATCH,product_bom,Beef Abura Soba,Direct Cost (rekalkulasi BOM),18314.04164,30314.041636421818,-11999.999996421819,Direct Cost workbook vs Σ(qty_required × biaya per satuan) dari BOM DB
E. BOM Produk,VALUE_MISMATCH,product_bom,Smoked Duck Abura Soba,Direct Cost (rekalkulasi BOM),23249.04164,35249.04163642182,-11999.999996421819,Direct Cost workbook vs Σ(qty_required × biaya per satuan) dari BOM DB
E. BOM Produk,VALUE_MISMATCH,product_bom,Tori Abura Soba,Direct Cost (rekalkulasi BOM),16809.38847,28809.38846966182,-11999.999999661817,Direct Cost workbook vs Σ(qty_required × biaya per satuan) dari BOM DB
E. BOM Produk,VALUE_MISMATCH,product_bom,Yuzu Milk,Direct Cost (rekalkulasi BOM),11501.05263,10001.052631578947,1499.9999984210535,Direct Cost workbook vs Σ(qty_required × biaya per satuan) dari BOM DB
E. BOM Produk,VALUE_MISMATCH,product_bom,Oolong Peach,Direct Cost (rekalkulasi BOM),4066.850426,2566.8504260242107,1499.9999999757893,Direct Cost workbook vs Σ(qty_required × biaya per satuan) dari BOM DB
E. BOM Produk,MISSING_IN_DB,product_bom,MATCHA LATTE → Ceremonial Matcha,component, ,,,Bahan ada di master tapi tidak terpasang di BOM produk
